,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199402,-3.2048,1.6107,-0.4672,-0.2172,0.0313,-0.3764,0.2304,0.2315,-1.7443,-1.5134,-0.8532,1.9028,0.8601,-1.8658,-1.6962,-0.997,0.0913,-1.7459,-2.5406,-5.1072,-1.8034,-2.0071,-3.4089,-4.9451,-4.9136
199403,-7.5056,-5.1801,-4.2089,-5.0855,-3.0689,-7.255,-5.2891,-5.1259,-3.7653,-6.0325,-5.804,-4.7278,-4.6383,-3.9942,-5.6954,-5.5226,-4.9534,-4.5492,-2.751,-1.9545,-4.7551,-3.8504,-2.8363,-4.6203,-4.4331
199404,-3.7428,-0.5459,-1.4946,-0.6468,0.6948,-0.882,0.605,1.7543,1.3886,2.2731,-1.544,2.2886,0.826,0.9536,1.6925,-0.2966,0.9333,1.6427,2.3104,1.4139,1.4045,-1.0589,3.0746,1.245,2.1552
199405,-2.3159,-2.0991,-0.3526,-0.4029,-0.5357,-2.4051,-2.3715,-1.2096,0.1391,1.1916,-2.115,-1.5601,0.3624,-1.2759,-0.1995,-0.1704,0.1885,0.2445,-1.255,-1.7544,1.1602,3.8952,1.8254,0.6958,1.1469
199406,-6.7135,-4.3806,-4.5171,-2.2003,-1.7486,-5.5166,-2.9018,-0.7176,-1.2523,-1.4698,-4.4992,-2.6204,0.0823,-0.9779,-1.7287,-5.1754,-2.7705,-2.0474,-1.7311,-4.1841,-2.4607,-3.0781,-2.1279,-1.7658,-3.5797
199407,0.4516,-0.2132,0.033,0.5045,1.3469,2.4385,1.8703,1.6784,2.1482,3.1601,3.0996,1.954,1.8447,3.2001,4.1019,2.2541,2.7598,3.8913,5.1415,5.2907,2.6749,3.3299,4.6274,3.478,2.556
199408,3.5672,4.4022,4.2776,2.3153,3.1093,9.2396,5.7314,3.7072,4.4739,4.9041,9.8086,4.2564,5.3817,1.9419,6.095,7.941,5.302,1.9155,3.1035,5.2586,6.2311,2.8053,1.6355,4.2358,1.9561
199409,1.0523,1.7119,1.0084,2.5708,0.7713,0.199,0.6688,-0.2337,-0.767,-1.598,1.056,-1.9537,-1.8372,-1.4036,-1.3801,-0.5179,-2.5777,-1.9807,-3.701,-2.8021,-0.5573,-3.7707,-3.0618,-3.2312,-6.0177
199410,-0.9996,1.2222,-0.0483,1.7143,-0.2627,1.6727,-0.0206,-0.5995,-0.9587,-3.4776,3.0878,-0.0496,-0.0959,-1.3493,-1.913,1.3539,1.0005,-0.039,-0.2403,-2.8014,3.066,1.6431,3.9162,2.076,0.1161
199411,-4.3998,-3.2961,-3.5965,-2.9408,-3.0005,-2.6891,-3.8051,-3.7186,-3.7048,-5.3536,-5.5188,-4.2824,-4.1533,-3.3957,-5.1101,-3.8154,-3.5076,-4.2322,-3.6166,-6.2355,-1.7822,-4.8128,-2.7788,-5.4069,-3.8289
199412,-3.1105,-0.4422,-0.3572,0.1714,-0.2368,1.7544,2.1868,2.3908,2.3624,1.3805,1.7663,3.5692,2.0669,3.1695,4.3744,1.9159,1.0503,0.4388,0.8394,1.4324,0.6601,2.1968,0.6543,1.7995,2.0812
199501,1.7385,2.1447,3.6001,1.2784,2.5948,-1.7041,-0.9038,-0.3583,-0.372,0.0895,-1.7239,-1.2725,-0.9543,0.8154,-0.2848,0.7436,1.0995,1.5324,3.4704,2.408,2.8608,3.3773,4.1838,2.0286,1.3251
199502,2.242,3.469,1.8862,2.0361,3.5054,3.5896,3.6691,3.5532,3.9815,5.3847,5.7033,4.5053,4.3667,4.6761,5.569,3.9339,5.4686,4.7731,3.7723,5.1731,3.3652,4.589,2.6727,4.38,6.4333
199503,0.8351,1.8566,0.9249,1.2433,0.734,4.0714,1.9213,2.9293,1.4852,2.1003,3.5744,2.0553,1.1932,0.3209,1.5678,3.1495,3.4063,1.9116,2.2295,0.5315,2.9169,3.2024,2.6087,2.366,2.0374
199504,1.7122,3.3029,2.6047,2.1236,4.3228,0.3087,0.9856,3.7184,2.9513,3.0804,0.279,0.709,2.3462,3.7307,2.4709,1.1008,1.7489,3.0625,1.2741,3.1906,2.5141,2.5035,2.8332,3.6687,5.1139
199505,1.7109,2.7257,1.2747,1.4711,3.3556,1.2746,1.2835,1.4417,2.6798,2.8914,2.1392,-0.5568,2.89,2.7741,2.4425,2.0724,1.7537,2.1686,3.7218,4.7767,3.8002,2.975,4.7737,5.156,6.0142
199506,7.7506,7.9655,5.8377,4.3344,5.215,9.6023,4.3769,4.093,4.9443,4.2986,6.4579,2.4823,3.7434,3.2096,2.4625,6.7675,3.8396,2.1191,2.4359,3.0631,3.9573,1.6652,0.2255,2.1505,1.5491
199507,7.0121,6.1855,5.8666,4.3273,4.9714,8.8249,5.9826,3.7478,6.1975,4.6675,8.2305,4.1608,4.4675,4.6313,5.5389,8.3573,5.4033,3.6711,4.0974,3.1601,2.9607,3.4336,4.1474,3.8412,2.9931
199508,4.2069,4.7989,4.2749,4.0829,4.0182,0.686,1.4304,1.9195,3.2604,3.6988,0.3942,1.5086,1.8455,3.3899,3.9571,0.1186,1.863,1.8371,2.0591,3.4404,0.0073,0.7987,-0.2148,1.5769,4.2171
199509,3.2478,2.8615,1.7034,2.196,2.4448,1.9988,2.1711,1.8564,2.5325,-0.0167,2.7734,0.5578,2.1283,2.2325,-0.6792,3.9574,1.5655,1.9073,2.4556,1.2675,5.8315,3.9456,2.2288,5.5501,3.9372
199510,-6.1007,-6.2145,-5.0563,-2.5962,-2.8435,-6.9433,-6.7036,-5.4957,-4.4426,-5.2287,-2.6288,-3.9537,-2.4082,-3.3843,-3.4385,-1.654,-4.4432,-2.4977,-0.0964,-2.8465,0.5649,1.106,0.5673,-3.2846,-3.8267
199511,1.8506,2.2909,1.0251,2.4345,1.4034,4.6618,4.6348,3.7852,5.3463,5.7407,6.3141,3.241,3.6019,4.6354,6.3385,4.4795,3.5482,4.1737,4.5769,5.9463,4.5728,2.5192,4.3503,6.9565,5.074
199512,2.321,3.2712,1.5205,1.7543,1.2722,2.7301,3.4138,3.267,2.7722,3.1931,1.593,2.0733,2.904,2.9197,0.7146,-2.023,0.8712,1.5336,1.2023,-0.6929,0.572,2.0859,3.5351,1.3245,3.0243
199601,2.0548,-0.0982,1.1743,1.0361,1.0381,-0.5762,-0.9699,0.4477,-0.6171,1.4149,-2.5185,0.5752,-0.1319,1.4998,0.247,1.5771,2.2334,2.0116,1.612,2.1869,3.9214,3.0019,3.0539,3.5659,3.4508
