gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,csho,epsfx,ni,costat
1487,12/31/14,2014,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,,,,A
1487,12/31/14,2014,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,1375.927,5.24,7529,A
1487,12/31/15,2015,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,,,,A
1487,12/31/15,2015,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,1193.917,1.65,2196,A
1487,12/31/16,2016,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,,,,A
1487,12/31/16,2016,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,995.336,-0.7,-849,A
1487,12/31/17,2017,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,,,,A
1487,12/31/17,2017,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,899.045,-6.54,-6084,A
1598,12/31/13,2013,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,245.006,2.1,516.999,A
1598,12/31/14,2014,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,241.335,2.37,584.46,A
1598,12/31/15,2015,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,235.515,2.45,590.859,A
1598,12/31/16,2016,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,229.379,2.19,512.158,A
1598,12/31/17,2017,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,231.117,2.94,681.47,A
1602,12/31/13,2013,INDL,C,D,STD,AMGN,31162100,AMGEN INC,USD,754.6,6.64,5081,A
1602,12/31/14,2014,INDL,C,D,STD,AMGN,31162100,AMGEN INC,USD,760.4,6.7,5158,A
1602,12/31/15,2015,INDL,C,D,STD,AMGN,31162100,AMGEN INC,USD,754,9.06,6939,A
1602,12/31/16,2016,INDL,C,D,STD,AMGN,31162100,AMGEN INC,USD,738.2,10.24,7722,A
1602,12/31/17,2017,INDL,C,D,STD,AMGN,31162100,AMGEN INC,USD,722.2,2.69,1979,A
1632,10/31/13,2013,INDL,C,D,STD,ADI,32654105,ANALOG DEVICES,USD,311.045,2.14,673.487,A
1632,10/31/14,2014,INDL,C,D,STD,ADI,32654105,ANALOG DEVICES,USD,311.205,1.98,629.32,A
1632,10/31/15,2015,INDL,C,D,STD,ADI,32654105,ANALOG DEVICES,USD,312.061,2.2,696.878,A
1632,10/31/16,2016,INDL,C,D,STD,ADI,32654105,ANALOG DEVICES,USD,308.171,2.76,861.664,A
1632,10/31/17,2017,INDL,C,D,STD,ADI,32654105,ANALOG DEVICES,USD,368.636,2.07,727.259,A
1678,12/31/13,2013,INDL,C,D,STD,APA,37411105,APACHE CORP,USD,395.773,5.5,2232,A
1678,12/31/14,2014,INDL,C,D,STD,APA,37411105,APACHE CORP,USD,376.505,-12.72,-5403,A
1678,12/31/15,2015,INDL,C,D,STD,APA,37411105,APACHE CORP,USD,378.034,-59.16,-23119,A
1678,12/31/16,2016,INDL,C,D,STD,APA,37411105,APACHE CORP,USD,379.44,-3.62,-1405,A
1704,10/31/13,2013,INDL,C,D,STD,AMAT,38222105,APPLIED MATERIALS INC,USD,1204,0.21,256,A
1704,10/31/14,2014,INDL,C,D,STD,AMAT,38222105,APPLIED MATERIALS INC,USD,1221,0.87,1072,A
1704,10/31/15,2015,INDL,C,D,STD,AMAT,38222105,APPLIED MATERIALS INC,USD,1160,1.12,1377,A
1704,10/31/16,2016,INDL,C,D,STD,AMAT,38222105,APPLIED MATERIALS INC,USD,1078,1.54,1721,A
1704,10/31/17,2017,INDL,C,D,STD,AMAT,38222105,APPLIED MATERIALS INC,USD,1060,3.17,3434,A
1722,12/31/13,2013,INDL,C,D,STD,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,USD,659,2.02,1342,A
1722,12/31/14,2014,INDL,C,D,STD,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,USD,637,3.43,2248,A
1722,12/31/15,2015,INDL,C,D,STD,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,USD,595,2.98,1849,A
1722,12/31/16,2016,INDL,C,D,STD,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,USD,573,2.16,1279,A
1722,12/31/17,2017,INDL,C,D,STD,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,USD,557,2.79,1595,A
1878,1/31/14,2013,INDL,C,D,STD,ADSK,52769106,AUTODESK INC,USD,226.7,1,228.8,A
1878,1/31/15,2014,INDL,C,D,STD,ADSK,52769106,AUTODESK INC,USD,227,0.35,81.8,A
1878,1/31/16,2015,INDL,C,D,STD,ADSK,52769106,AUTODESK INC,USD,224.4,-1.46,-330.5,A
1878,1/31/17,2016,INDL,C,D,STD,ADSK,52769106,AUTODESK INC,USD,220.3,-2.61,-582.1,A
1891,6/30/13,2013,INDL,C,D,STD,ADP,53015103,AUTOMATIC DATA PROCESSING,USD,482.6,2.8,1405.8,A
1891,6/30/14,2014,INDL,C,D,STD,ADP,53015103,AUTOMATIC DATA PROCESSING,USD,480.2,3.11,1515.9,A
1891,6/30/15,2015,INDL,C,D,STD,ADP,53015103,AUTOMATIC DATA PROCESSING,USD,466.4,2.89,1452.5,A
1891,6/30/16,2016,INDL,C,D,STD,ADP,53015103,AUTOMATIC DATA PROCESSING,USD,455.7,3.25,1492.5,A
1891,6/30/17,2017,INDL,C,D,STD,ADP,53015103,AUTOMATIC DATA PROCESSING,USD,445,3.85,1733.4,A
1913,12/31/13,2013,INDL,C,D,STD,AVY,53611109,AVERY DENNISON CORP,USD,96.178,2.44,215.8,A
1913,12/31/14,2014,INDL,C,D,STD,AVY,53611109,AVERY DENNISON CORP,USD,90.459,2.62,248.9,A
1913,12/31/15,2015,INDL,C,D,STD,AVY,53611109,AVERY DENNISON CORP,USD,89.968,2.95,274.3,A
1913,12/31/16,2016,INDL,C,D,STD,AVY,53611109,AVERY DENNISON CORP,USD,88.309,3.54,320.7,A
1913,12/31/17,2017,INDL,C,D,STD,AVY,53611109,AVERY DENNISON CORP,USD,88.081,3.13,281.8,A
1976,12/31/13,2013,INDL,C,D,STD,BHI,57224107,BAKER HUGHES INC,USD,438,2.47,1096,I
1976,12/31/14,2014,INDL,C,D,STD,BHI,57224107,BAKER HUGHES INC,USD,434,3.92,1719,I
1976,12/31/15,2015,INDL,C,D,STD,BHI,57224107,BAKER HUGHES INC,USD,437,-4.49,-1967,I
1976,12/31/16,2016,INDL,C,D,STD,BHI,57224107,BAKER HUGHES INC,USD,424,-6.31,-2738,I
1988,12/31/13,2013,INDL,C,D,STD,BLL,58498106,BALL CORP,USD,142.118,2.73,406.8,A
1988,12/31/14,2014,INDL,C,D,STD,BLL,58498106,BALL CORP,USD,136.966,3.3,470,A
1988,12/31/15,2015,INDL,C,D,STD,BLL,58498106,BALL CORP,USD,142.289,1.99,280.9,A
1988,12/31/16,2016,INDL,C,D,STD,BLL,58498106,BALL CORP,USD,174.865,1.63,263,A
1988,12/31/17,2017,INDL,C,D,STD,BLL,58498106,BALL CORP,USD,349.851,1.12,399,A
2019,12/31/13,2013,FS,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,,,,A
2019,12/31/13,2013,INDL,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,1142.25,1.74,2111,A
2019,12/31/14,2014,FS,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,,,,A
2019,12/31/14,2014,INDL,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,1118.228,2.15,2567,A
2019,12/31/15,2015,FS,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,,,,A
2019,12/31/15,2015,INDL,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,1085.343,2.71,3158,A
2019,12/31/16,2016,FS,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,,,,A
2019,12/31/16,2016,INDL,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,1047.488,3.15,3547,A
2019,12/31/17,2017,FS,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,,,,A
2019,12/31/17,2017,INDL,C,D,STD,BK,64058100,BANK OF NEW YORK MELLON CORP,USD,1013.442,3.72,4090,A
2044,12/31/13,2013,INDL,C,D,STD,BCR,67383109,BARD (C.R.) INC,USD,77.436,8.39,689.8,I
2044,12/31/14,2014,INDL,C,D,STD,BCR,67383109,BARD (C.R.) INC,USD,74.893,3.76,294.5,I
2044,12/31/15,2015,INDL,C,D,STD,BCR,67383109,BARD (C.R.) INC,USD,73.697,1.77,135.4,I
2044,12/31/16,2016,INDL,C,D,STD,BCR,67383109,BARD (C.R.) INC,USD,72.899,7.03,531.4,I
2086,12/31/13,2013,INDL,C,D,STD,BAX,71813109,BAXTER INTERNATIONAL INC,USD,543.038,3.66,2012,A
2086,12/31/14,2014,INDL,C,D,STD,BAX,71813109,BAXTER INTERNATIONAL INC,USD,542.378,3.56,2497,A
2086,12/31/15,2015,INDL,C,D,STD,BAX,71813109,BAXTER INTERNATIONAL INC,USD,547.655,0.72,968,A
2086,12/31/16,2016,INDL,C,D,STD,BAX,71813109,BAXTER INTERNATIONAL INC,USD,539.605,9.01,4965,A
2111,9/30/13,2013,INDL,C,D,STD,BDX,75887109,BECTON DICKINSON & CO,USD,193.999,4.67,1293,A
2111,9/30/14,2014,INDL,C,D,STD,BDX,75887109,BECTON DICKINSON & CO,USD,191.892,5.99,1185,A
2111,9/30/15,2015,INDL,C,D,STD,BDX,75887109,BECTON DICKINSON & CO,USD,210.696,3.35,695,A
2111,9/30/16,2016,INDL,C,D,STD,BDX,75887109,BECTON DICKINSON & CO,USD,213.291,4.49,976,A
2111,9/30/17,2017,INDL,C,D,STD,BDX,75887109,BECTON DICKINSON & CO,USD,227.942,4.6,1100,A
2136,12/31/13,2013,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,2862,4,11497,A
2136,12/31/14,2014,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,4154.964,2.42,9625,A
2136,12/31/15,2015,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,4073.175,4.37,17879,A
2136,12/31/16,2016,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,4076.684,3.21,13127,A
2136,12/31/17,2017,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,4079,7.36,30101,A
2184,1/31/14,2013,INDL,C,D,STD,BBY,86516101,BEST BUY CO INC,USD,346.751,1.98,532,A
2184,1/31/15,2014,INDL,C,D,STD,BBY,86516101,BEST BUY CO INC,USD,351.468,3.53,1233,A
2184,1/31/16,2015,INDL,C,D,STD,BBY,86516101,BEST BUY CO INC,USD,323.779,2.3,897,A
2184,1/31/17,2016,INDL,C,D,STD,BBY,86516101,BEST BUY CO INC,USD,311.108,3.74,1228,A
2269,4/30/14,2013,INDL,C,D,STD,HRB,93671105,BLOCK H & R INC,USD,274.228,1.81,475.157,A
2269,4/30/15,2014,INDL,C,D,STD,HRB,93671105,BLOCK H & R INC,USD,275.275,1.75,473.663,A
2269,4/30/16,2015,INDL,C,D,STD,HRB,93671105,BLOCK H & R INC,USD,220.518,1.53,374.267,A
2269,4/30/17,2016,INDL,C,D,STD,HRB,93671105,BLOCK H & R INC,USD,207.171,1.96,408.945,A
2270,12/31/13,2013,INDL,C,D,STD,ESV,G3157S106,ENSCO PLC,USD,233.55,6.09,1418.2,A
2270,12/31/14,2014,INDL,C,D,STD,ESV,G3157S106,ENSCO PLC,USD,234.25,-11.7,-3902.6,A
2270,12/31/15,2015,INDL,C,D,STD,ESV,G3157S106,ENSCO PLC,USD,235.35,-6.33,-1594.8,A
2270,12/31/16,2016,INDL,C,D,STD,ESV,G3157S106,ENSCO PLC,USD,303.05,3.1,890.2,A
2285,12/31/13,2013,INDL,C,D,STD,BA,97023105,BOEING CO,USD,747.379,5.96,4585,A
2285,12/31/14,2014,INDL,C,D,STD,BA,97023105,BOEING CO,USD,706.728,7.38,5446,A
2285,12/31/15,2015,INDL,C,D,STD,BA,97023105,BOEING CO,USD,666.624,7.44,5176,A
2285,12/31/16,2016,INDL,C,D,STD,BA,97023105,BOEING CO,USD,617.152,7.61,4895,A
2285,12/31/17,2017,INDL,C,D,STD,BA,97023105,BOEING CO,USD,591.039,13.43,8197,A
2312,12/31/13,2013,INDL,C,D,STD,RHI,770323103,ROBERT HALF INTL INC,USD,137.466,1.83,252.195,A
2312,12/31/14,2014,INDL,C,D,STD,RHI,770323103,ROBERT HALF INTL INC,USD,135.134,2.26,305.928,A
2312,12/31/15,2015,INDL,C,D,STD,RHI,770323103,ROBERT HALF INTL INC,USD,131.156,2.69,357.796,A
2312,12/31/16,2016,INDL,C,D,STD,RHI,770323103,ROBERT HALF INTL INC,USD,127.797,2.67,343.389,A
2403,12/31/13,2013,INDL,C,D,STD,BMY,110122108,BRISTOL-MYERS SQUIBB CO,USD,1649,1.54,2563,A
